date | value
2012-01-32 | 1
2012-02-30 | 1
2011-02-29 | 1
2012-02-99 | 1
2012-03-32 | 1
2012-04-31 | 1
2012-05-32 | 1
2012-06-31 | 1
2012-07-32 | 1
2012-08-32 | 1
2012-09-31 | 1
2012-10-32 | 1
2012-11-31 | 1
2012-12-32 | 1
2012-13-32 | 1
2012-13-02 | 1
2012-14-02 | 1
2012-15-02 | 1
2010-15-02 | 1
2008-15-02 | 1
2000-15-02 | 1
2012-00-32 | 1
2012-05-00 | 1
0000-05-02 | 1
20120-01-11 | 1
02012-01-11 | 1
2012-001-11 | 1
2012-01-011 | 1
2012--01 | 1
-- | 1
2012-01 | 1
2012-01-11 | 2147483648
2012-01-11 | 1000.1
2012-01-11 | -1000
2012-01-11| 0
2012-01-11 |0
2012-01-11|0
2012-01-11  0
2012-01-11 0
2012-01-11 |
2012-01-11 | -
2012-01-11 | .
2012-01-11 | 12re
2029-01-11 | 1
2023-01-11 | 1
